DIRECTORIO,SECUENCIA_PH,SECUENCIA_P,SECUENCIA_ENCUESTA,TIPO,P3077,P3078,P3079,P3080,P3081,P3082,P3083,P3084,P2990,P3085,P3099,CLASE_TE,COD_DEPTO,AREA,F_EXP
7627459,1,1,1,2,,1,,2,,,,2,2,240,57,1,68,"",64.6682120280561
7627465,1,2,1,2,,1,,2,,,,2,2,24,50,2,76,"",85.403227076484
7627489,1,4,1,1,2,1,1175179,2,,2,,2,2,24,25,1,05,05,74.9230502355623
7627489,1,4,2,1,2,1,1175179,2,,2,,2,2,36,30,1,05,05,74.9230502355623
7627492,1,2,1,2,,1,,1,438058,,,1,2,460,60,1,05,05,90.9560965949108
7627497,1,1,1,2,,1,,1,377400,,,1,2,24,37,1,05,05,77.5705179590575
7627511,1,1,1,1,2,1,500000,2,,2,,2,2,1,16,1,05,05,91.7456756146731
7627514,1,1,1,1,1,1,1300000,1,308000,1,782500,1,1,24,38,1,05,05,95.433016265242
7627514,1,1,2,1,1,1,1300000,1,308000,1,782500,1,1,48,29,1,05,05,95.433016265242
7627514,1,1,3,1,1,1,1300000,1,308000,1,782500,1,1,36,28,1,05,05,95.433016265242
7627514,1,1,4,1,1,1,1300000,1,308000,1,782500,1,1,120,40,1,05,05,95.433016265242
7627514,1,1,5,1,1,1,1300000,1,308000,1,782500,1,1,2,36,1,05,05,95.433016265242
7627516,1,3,1,1,2,1,2100000,2,,2,,2,2,60,25,1,05,05,92.9051558076589
7627516,1,3,2,1,2,2,2100000,2,,2,,2,2,36,26,1,05,05,92.9051558076589
7627516,1,3,3,1,2,1,2100000,2,,2,,2,2,12,35,1,05,05,92.9051558076589
7627516,1,3,4,1,2,1,2100000,2,,2,,2,2,24,27,1,05,05,92.9051558076589
7627532,1,2,1,2,,2,,2,,,,2,2,60,28,1,05,05,92.9223431852264
7627534,1,1,1,2,,2,,2,,,,2,2,60,21,1,05,05,103.355408559894
7627549,1,2,1,1,2,2,1175179,2,,2,,2,2,18,30,1,05,05,139.815672852952
7627563,1,1,1,1,1,1,1000000,2,,2,,2,2,6,65,1,05,05,73.3965404917385
7627563,1,1,2,1,1,1,1000000,2,,2,,2,2,12,58,1,05,05,73.3965404917385
7627566,1,2,1,1,2,1,1500000,2,,2,,2,2,3,32,1,05,05,67.1540465290699
7627566,1,2,2,1,2,1,1500000,2,,2,,2,2,8,41,1,05,05,67.1540465290699
7627566,1,2,3,1,2,1,1500000,2,,2,,2,2,8,42,1,05,05,67.1540465290699
7627584,1,1,1,1,2,2,600000,2,,2,,2,2,6,50,1,05,05,112.718501249311
7627584,1,1,1,2,,2,,1,377400,,,1,2,48,30,1,05,05,112.718501249311
7627584,1,1,2,1,2,2,1400000,2,,2,,2,2,12,23,1,05,05,112.718501249311
7627584,1,1,3,1,2,1,3000000,2,,2,,2,2,8,25,1,05,05,112.718501249311
7627584,1,1,4,1,2,1,3000000,2,,2,,2,2,7,28,1,05,05,112.718501249311
7627584,1,1,5,1,2,1,3000000,2,,2,,2,2,8,30,1,05,05,112.718501249311
7627593,1,2,1,1,2,1,1300000,2,,2,,2,2,12,36,1,08,08,58.8659600894392
7627594,1,2,1,1,1,1,1200000,1,336000,1,150000,1,1,60,48,1,08,08,46.0488084712159
7627594,1,2,2,1,1,1,1200000,1,336000,1,150000,1,1,60,45,1,08,08,46.0488084712159
7627594,1,2,3,1,2,1,1200000,2,,2,,2,2,12,30,1,08,08,46.0488084712159
7627594,1,2,4,1,2,1,1200000,2,,2,,2,2,8,25,1,08,08,46.0488084712159
7627594,1,2,5,1,2,1,1200000,2,,2,,2,2,5,23,1,08,08,46.0488084712159
7627599,1,1,1,2,,1,,2,,,,2,2,500,74,1,08,08,18.5573548370359
7627633,1,2,1,3,,1,,2,,,,2,2,77,46,1,11,11,344.990643086562
7627636,1,4,1,2,,2,,2,,,,2,2,241,33,1,11,11,229.64773792818
7627702,1,2,1,3,,1,,2,,,,2,2,3,21,1,13,13,40.4868543960079
7627724,1,1,1,2,,2,,2,,,,2,2,18,49,1,13,13,34.1229920056913
7627725,1,2,1,2,,1,,2,,,,2,2,108,99,1,13,13,32.0325024204867
7627734,1,2,1,1,1,1,40000,2,,2,,2,2,48,18,1,13,13,22.8271954889442
7627784,1,2,1,1,2,1,1300000,2,,2,,2,2,6,998,1,13,13,25.4463390503067
7627784,1,2,2,1,2,1,1300000,2,,2,,2,2,6,998,1,13,13,25.4463390503067
7627784,1,2,3,1,2,1,1300000,2,,2,,2,2,12,998,1,13,13,25.4463390503067
7627784,1,2,4,1,2,2,1300000,2,,2,,2,2,8,998,1,13,13,25.4463390503067
7627790,1,2,1,1,2,1,960000,2,,2,,2,2,49,30,1,13,13,38.2327727008115
7627797,1,1,1,1,2,1,1300000,2,,2,,2,2,8,29,1,13,13,44.1934785661336
7627797,1,1,1,2,,1,,2,,,,2,2,36,44,1,13,13,44.1934785661336
7627814,1,1,1,1,1,2,1300000,1,370500,1,2221750,1,1,24,45,1,15,15,5.00254894434284
7627814,1,1,1,2,,1,,2,,,,2,2,24,60,1,15,15,5.00254894434284
7627814,1,1,2,1,1,1,1300000,1,370500,1,2221750,1,1,18,30,1,15,15,5.00254894434284
7627814,1,1,3,1,1,2,1300000,2,,2,,2,2,24,36,1,15,15,5.00254894434284
7627815,1,2,1,2,,1,,2,,,,2,2,240,75,1,15,15,7.42547793038994
7627846,1,1,1,2,,2,,2,,,,2,2,204,42,1,15,15,10.2350721242113
7627851,1,2,1,1,2,1,1050000,2,,2,,2,2,5,42,1,15,15,8.29906356925934
7627851,1,2,1,2,,1,,2,,,,2,2,13,53,1,15,15,8.29906356925934
7627851,1,2,2,1,2,1,1050000,2,,2,,2,2,5,28,1,15,15,8.29906356925934
7627865,1,1,1,2,,1,,2,,,,2,2,6,30,1,15,15,5.01649733315715
7627912,1,2,1,2,,1,,2,,,,2,2,9,31,1,17,17,21.5144246726028
7627912,1,2,2,2,,1,,2,,,,2,2,5,32,1,17,17,21.5144246726028
7627933,1,1,1,3,,2,,2,,,,2,2,24,55,1,17,17,12.1308137636277
7628015,1,2,1,3,,1,,2,,,,2,2,18,63,1,17,17,8.84860437728367
7628023,1,2,1,2,,1,,2,,,,2,2,15,28,1,17,17,22.6316705887522
7628023,1,2,2,2,,2,,2,,,,2,2,15,25,1,17,17,22.6316705887522
7628023,1,2,3,2,,2,,2,,,,2,2,15,26,1,17,17,22.6316705887522
7628090,1,2,1,1,2,1,1200000,2,,2,,2,2,3,28,1,18,18,8.82475131398935
7628107,1,3,1,2,,1,,2,,,,2,2,7,27,1,18,18,9.86757188980951
7628127,1,1,1,3,,1,,2,,,,2,2,5,21,1,19,19,6.53156542869862
7628150,1,1,1,3,,1,,2,,,,2,2,120,58,1,19,19,12.1928981161144
7628179,1,1,1,1,1,1,1300000,1,418366,1,494300,1,1,36,25,1,19,19,15.712094597404
7628179,1,1,2,1,1,1,1300000,1,418366,1,494300,1,1,36,26,1,19,19,15.712094597404
7628179,1,1,3,1,1,2,1300000,1,418366,1,494300,1,1,36,27,1,19,19,15.712094597404
7628222,1,2,1,3,,1,,2,,,,2,2,25,60,1,23,23,9.8043945526647
7628222,1,2,2,3,,2,,2,,,,2,2,25,20,1,23,23,9.8043945526647
7628224,3,2,1,3,,1,,2,,,,2,2,36,29,1,23,23,34.783737523701
7628255,1,1,1,3,,1,,2,,,,2,2,13,23,1,27,27,4.64132462905304
7628256,1,1,1,1,1,1,1200000,1,340000,2,,1,2,180,32,1,27,27,5.00381990540728
7628256,1,1,2,1,1,1,1200000,1,340000,2,,1,2,96,28,1,27,27,5.00381990540728
7628259,1,2,1,2,,1,,2,,,,2,2,31,56,1,27,27,6.47872472828491
7628301,1,2,1,2,,1,,2,,,,2,2,48,69,1,27,27,2.81636731055529
7628301,1,2,2,2,,1,,2,,,,2,2,48,25,1,27,27,2.81636731055529
7628451,1,6,1,1,2,1,800000,2,,2,,2,2,9,38,1,44,44,5.48560455185312
7628451,1,6,2,1,2,1,800000,2,,2,,2,2,9,20,1,44,44,5.48560455185312
7628454,1,1,1,1,2,1,300000,2,,2,,2,2,60,22,1,44,44,6.97621113389226
7628468,1,1,1,1,2,1,1200000,2,,2,,2,2,6,25,1,44,44,5.16060054519585
7628468,1,1,2,1,2,1,1200000,2,,2,,2,2,6,25,1,44,44,5.16060054519585
7628468,1,1,3,1,2,1,1200000,2,,2,,2,2,6,30,1,44,44,5.16060054519585
7628468,1,1,4,1,2,2,1200000,2,,2,,2,2,6,40,1,44,44,5.16060054519585
7628469,1,2,1,1,2,1,900000,2,,2,,2,2,1,50,1,44,44,4.47476484176994
7628473,1,1,1,3,,2,,2,,,,2,2,60,43,1,44,44,5.47815389224596
7628477,1,2,1,1,2,2,100000,2,,2,,2,2,24,38,1,44,44,4.39178456603457
7628477,1,2,2,1,2,2,100000,2,,2,,2,2,24,16,1,44,44,4.39178456603457
7628492,1,2,1,1,2,1,500000,2,,2,,2,2,2,45,1,44,44,5.6859492642937
7628495,1,2,1,1,2,1,886915,2,,2,,2,2,36,39,1,44,44,12.2732524165163
7628495,1,2,1,3,,1,,2,,,,2,2,24,21,1,44,44,12.2732524165163
7628495,1,2,2,1,2,1,886915,2,,2,,2,2,24,27,1,44,44,12.2732524165163
7628496,1,1,1,3,,2,,2,,,,2,2,36,29,1,44,44,8.68837812142439
7628558,1,1,1,1,2,1,1248750,2,,2,,2,2,3,999,1,50,50,20.9456735334957
7628584,1,1,1,1,1,1,1200000,2,,2,,2,2,5,43,1,50,50,16.6016948929763
7628586,1,1,1,3,,2,,2,,,,2,2,6,16,1,50,50,12.4831383633256
7628655,1,1,1,1,1,2,1400000,1,104000,1,580000,1,1,264,41,1,52,52,10.9737929556122
7628655,1,1,1,2,,2,,2,,,,2,2,420,63,1,52,52,10.9737929556122
7628663,1,1,1,2,,1,,2,,,,2,2,36,29,1,52,52,6.74200908176101
7628691,1,2,1,1,2,2,1300000,2,,2,,2,2,12,28,1,52,52,16.8947913067632
7628718,1,1,1,3,,1,,2,,,,2,2,121,48,1,52,52,12.5096945351248
7628724,1,1,1,2,,2,,2,,,,2,2,12,30,1,52,52,16.2727574250647
7628737,1,2,1,2,,1,,2,,,,2,2,240,56,1,52,52,8.75532686130447
7628775,1,1,1,1,1,1,1400000,2,,2,,2,2,24,33,1,54,54,41.5097438043961
7628775,1,1,2,1,1,1,960000,2,,2,,2,2,12,34,1,54,54,41.5097438043961
7628791,1,4,1,1,1,2,1300000,2,,2,,2,2,10,19,1,66,66,14.6617136516994
7628853,1,1,1,3,,2,,2,,,,2,2,240,66,1,66,66,13.1248146727457
7628858,1,2,1,2,,1,,2,,,,2,2,96,55,1,66,66,17.8967556900952
7628865,1,1,1,1,1,2,1000000,2,,2,,2,2,3,32,1,66,66,16.2697779000865
7628894,1,1,1,1,2,1,800000,2,,2,,2,2,3,49,1,66,66,69.9499231288346
7628935,1,1,1,1,2,1,1200000,2,,2,,2,2,24,60,1,68,68,37.060953565677
7628935,1,1,2,1,2,1,1200000,2,,2,,2,2,18,33,1,68,68,37.060953565677
7628935,1,1,3,1,2,1,1200000,2,,2,,2,2,2,18,1,68,68,37.060953565677
7628935,1,1,4,1,2,2,1000000,2,,2,,2,2,4,16,1,68,68,37.060953565677
7628935,1,1,5,1,2,1,1000000,2,,2,,2,2,6,49,1,68,68,37.060953565677
7628940,1,3,1,1,2,1,480000,2,,2,,2,2,48,35,1,68,68,23.7724335504459
7629021,1,1,1,1,2,1,1300000,2,,2,,2,2,126,50,1,68,68,39.9146311260765
7629021,1,1,1,3,,2,,2,,,,2,2,240,43,1,68,68,39.9146311260765
7629023,1,2,1,1,2,1,1300000,1,370000,1,2000000,1,1,72,30,1,68,68,45.4513227736073
7629023,1,2,2,1,2,1,1300000,1,370000,1,2000000,1,1,120,39,1,68,68,45.4513227736073
7629023,1,2,3,1,2,1,1300000,1,370000,1,2000000,1,1,120,35,1,68,68,45.4513227736073
7629023,1,2,4,1,2,1,1300000,1,370000,1,2000000,1,1,150,48,1,68,68,45.4513227736073
7629023,1,3,1,3,,1,,2,,,,2,2,36,28,1,68,68,45.4513227736073
7629028,1,1,1,1,2,1,1000000,2,,2,,2,2,9,22,1,68,68,39.2097646701225
7629034,1,2,1,1,2,2,1300000,1,370000,1,3000000,1,2,84,32,1,68,68,27.6271317559986
7629103,1,1,1,1,2,2,500000,2,,2,,2,2,96,39,1,73,73,20.5481735358603
7629166,1,1,1,1,2,1,1300000,1,276000,2,,1,1,2,25,1,76,76,62.789828198079
7629166,1,1,1,2,,2,,2,,,,2,2,48,29,1,76,76,62.789828198079
7629183,1,1,1,1,2,1,1300000,2,,2,,2,2,11,30,1,76,76,53.1825238267174
7629183,1,1,2,1,2,2,1300000,2,,2,,2,2,11,45,1,76,76,53.1825238267174
7629189,1,2,1,3,,2,,2,,,,2,2,4,65,1,76,76,43.4294662171997
7629276,1,1,1,1,2,1,900000,2,,2,,2,2,24,65,1,88,88,5.16921307950522
7629288,1,2,1,3,,1,,2,,,,2,2,120,57,1,88,88,3.48971773724951
7629522,1,1,1,1,2,1,1300000,2,,2,,2,2,3,25,1,25,"",117.015534888267
7629522,1,1,1,2,,1,,2,,,,2,2,3,40,1,25,"",117.015534888267
7629522,1,1,2,1,2,1,1300000,2,,2,,2,2,3,45,1,25,"",117.015534888267
7629555,1,1,1,3,,2,,2,,,,2,2,360,61,2,25,"",191.877108861736
7629572,1,1,1,1,2,2,1000000,2,,2,,2,2,60,38,1,15,"",114.083643471049
7629595,1,1,1,1,2,1,2000000,2,,2,,2,2,3,30,1,15,"",114.083643471049
7629595,1,1,2,1,2,1,2000000,2,,2,,2,2,3,42,1,15,"",114.083643471049
7629612,1,1,1,1,2,2,200000,2,,2,,2,2,24,38,2,15,"",127.108248385359
7629612,1,1,1,3,,2,,2,,,,2,2,24,40,2,15,"",127.108248385359
7629616,1,1,1,1,2,2,600000,2,,2,,2,2,3,45,2,15,"",149.699102233576
7629625,1,1,1,1,2,2,1300000,1,320000,2,,1,1,3,30,1,15,"",386.942319961156
7629625,1,1,1,2,,1,,1,320000,,,1,1,60,37,1,15,"",386.942319961156
7629625,1,1,2,1,2,2,2600000,1,320000,2,,1,1,6,27,1,15,"",386.942319961156
7629691,1,1,1,1,2,1,500000,2,,2,,2,2,18,29,2,68,"",113.444545604165
7629720,1,1,1,1,2,1,900000,2,,2,,2,2,24,20,2,76,"",71.871114923125
7629720,1,1,1,2,,1,,2,,,,2,2,72,25,2,76,"",71.871114923125
7629747,1,2,1,1,2,1,1800000,2,,2,,2,2,30,28,1,66,"",29.646989121
7629759,1,1,1,2,,1,,2,,,,2,2,300,56,2,23,"",261.494574546597
7629774,1,4,1,2,,2,,2,,,,2,2,18,32,1,23,"",262.557099696022
7629802,1,1,1,1,1,1,1300000,1,333300,1,920000,1,1,36,58,1,05,"",43.8287979388696
7629802,1,1,2,1,1,1,1300000,1,333300,1,920000,1,1,36,58,1,05,"",43.8287979388696
7629802,1,1,3,1,1,1,1300000,1,333300,1,920000,1,1,3,38,1,05,"",43.8287979388696
7629802,1,1,4,1,1,1,1300000,1,333300,1,920000,1,1,18,36,1,05,"",43.8287979388696
7629802,1,1,5,1,1,1,1300000,1,333300,1,920000,1,1,12,36,1,05,"",43.8287979388696
7629817,1,1,1,1,2,1,1400000,2,,2,,2,2,24,45,1,05,05,293.459961379324
7629817,1,1,2,1,2,1,1400000,2,,2,,2,2,30,40,1,05,05,293.459961379324
7629817,1,1,3,1,2,1,1400000,2,,2,,2,2,20,35,1,05,05,293.459961379324
7629853,1,1,1,2,,1,,2,,,,2,2,480,62,1,05,05,49.1230481131124
7629878,1,1,1,2,,2,,2,,,,2,2,420,65,1,05,05,122.79073040313
7629896,1,1,1,2,,1,,2,,,,2,2,48,40,1,05,05,91.8998272453845
7629942,1,2,1,1,2,1,1200000,2,,2,,2,2,8,48,1,05,05,75.0387796908014
7629969,1,1,1,2,,2,,2,,,,2,2,120,31,1,05,05,53.1044726592904
7630041,1,2,1,3,,2,,2,,,,2,2,24,26,1,08,08,25.6115411771584
7630073,1,1,1,1,2,1,900000,2,,2,,2,2,36,23,1,08,08,52.2766336817762
7630078,1,1,1,2,,2,,2,,,,2,2,12,28,1,08,08,168.42011243726
7630093,2,2,1,1,2,1,600000,2,,2,,2,2,12,26,1,08,08,72.871512869289
7630143,1,1,1,1,2,1,500000,2,,2,,2,2,2,35,1,08,08,34.4976505745493
7630163,1,3,1,1,2,2,400000,2,,2,,2,2,3,19,1,08,08,72.3430088685534
7630165,1,1,1,3,,1,,2,,,,2,2,4,22,1,08,08,53.216362316704
7630165,1,4,1,1,2,2,1200000,2,,2,,2,2,24,28,1,08,08,53.216362316704
7630207,1,1,1,1,2,2,520000,2,,2,,2,2,4,53,1,11,11,354.70120626199
7630231,1,4,1,1,2,1,1549458,1,383333,1,1066648,1,1,12,20,1,11,11,409.708127794148
7630231,1,4,2,1,2,1,1549458,1,383333,1,1066648,1,1,12,25,1,11,11,409.708127794148
7630231,1,4,3,1,2,1,1549458,1,383333,1,1066648,1,1,12,28,1,11,11,409.708127794148
7630231,1,4,4,1,2,1,1549458,1,383333,1,1066648,1,1,12,48,1,11,11,409.708127794148
7630231,1,4,5,1,2,2,1549458,1,383333,1,1066648,1,1,12,31,1,11,11,409.708127794148
7630231,1,4,6,1,2,2,1549458,1,383333,1,1066648,1,1,12,35,1,11,11,409.708127794148
7630231,1,4,7,1,2,2,1549458,1,383333,1,1066648,1,1,12,29,1,11,11,409.708127794148
7630231,1,4,8,1,2,2,1549458,1,383333,1,1066648,1,1,12,36,1,11,11,409.708127794148
7630256,1,2,1,2,,1,,1,370000,,,2,2,85,33,1,11,11,313.201118278481
7630281,1,1,1,1,2,1,1300000,2,,2,,2,2,8,24,1,11,11,524.119646283303
7630281,1,1,1,3,,2,,2,,,,2,2,72,24,1,11,11,524.119646283303
7630300,1,1,1,1,2,1,950000,2,,2,,2,2,13,40,1,11,11,525.994065155876
7630366,1,1,1,1,2,2,900000,2,,2,,2,2,1,49,1,13,13,56.9169757669303
7630371,1,1,1,1,2,1,640000,2,,2,,2,2,7,36,1,13,13,45.6463436741994
7630408,1,5,1,1,2,1,1200000,2,,2,,2,2,3,52,1,13,13,12.6837176417676
7630412,1,1,1,1,1,2,1100000,2,,1,818181,2,2,36,34,1,13,13,25.9591746039952
7630454,1,1,1,1,1,1,2000000,1,370500,1,853795,1,1,72,23,1,15,15,10.577572685071
7630454,1,1,2,1,1,1,1300000,1,370500,1,853795,1,1,28,24,1,15,15,10.577572685071
7630454,1,1,3,1,1,2,1300000,1,370500,2,,1,1,9,24,1,15,15,10.577572685071
7630454,1,1,5,1,1,1,1300000,1,370500,2,,1,1,1,38,1,15,15,10.577572685071
7630454,1,1,4,1,1,2,1300000,1,370500,1,853795,1,1,7,25,1,15,15,10.577572685071
7630454,1,1,6,1,2,1,1300000,2,,2,,2,2,1,26,1,15,15,10.577572685071
7630455,1,1,1,1,2,1,550000,2,,2,,2,2,3,21,1,15,15,7.66049406954995
7630455,1,1,1,2,,2,,2,,,,2,2,120,50,1,15,15,7.66049406954995
7630455,1,1,2,1,2,2,450000,2,,2,,2,2,1,20,1,15,15,7.66049406954995
7630462,1,1,1,1,1,1,1500000,2,,2,,2,2,204,45,1,15,15,7.42547793038994
7630462,1,1,2,1,2,1,1500000,2,,2,,2,2,180,45,1,15,15,7.42547793038994
7630462,1,1,3,1,2,1,1300000,2,,2,,2,2,72,25,1,15,15,7.42547793038994
7630462,1,1,4,1,2,1,1300000,2,,2,,2,2,48,35,1,15,15,7.42547793038994
7630463,1,1,1,1,1,2,1300000,1,318800,2,,1,1,9,28,1,15,15,10.9593202263549
7630470,1,1,1,1,1,1,1300000,1,370500,2,,1,1,24,24,1,15,15,7.3104507334731
7630492,1,1,1,1,2,1,500000,2,,2,,2,2,18,62,1,15,15,9.32148569249965
7630630,1,1,1,1,2,1,1300000,2,,2,,2,2,2,50,1,17,17,18.9595879269636
7630630,1,1,2,1,2,1,1300000,2,,2,,2,2,2,55,1,17,17,18.9595879269636
7630630,1,1,3,1,2,1,1300000,2,,2,,2,2,2,52,1,17,17,18.9595879269636
7630630,1,1,4,1,2,1,1300000,2,,2,,2,2,2,45,1,17,17,18.9595879269636
7630630,1,1,5,1,2,1,1300000,2,,2,,2,2,2,35,1,17,17,18.9595879269636
7630630,1,1,6,1,2,1,1300000,2,,2,,2,2,2,48,1,17,17,18.9595879269636
7630630,1,1,7,1,2,1,1300000,2,,2,,2,2,2,38,1,17,17,18.9595879269636
7630632,1,2,1,2,,1,,2,,,,2,2,48,33,1,18,18,18.3703225399788
7630714,1,1,1,2,,1,,2,,,,2,2,16,31,1,18,18,9.10695186981982
7630731,1,1,1,1,2,1,1462000,1,220000,2,,1,1,11,30,1,18,18,15.0826518642353
7630731,1,1,1,2,,1,,2,,,,2,2,13,30,1,18,18,15.0826518642353
7630731,1,1,1,3,,1,,2,,,,2,2,13,60,1,18,18,15.0826518642353
7630731,1,1,2,1,2,2,1462000,1,220000,2,,1,1,11,22,1,18,18,15.0826518642353
7630735,1,1,1,1,2,1,1300000,2,,2,,2,2,10,36,1,18,18,5.25947008235848
7630745,1,2,1,2,,2,,2,,,,2,2,180,999,1,19,19,11.972190344471
7630840,1,1,1,2,,2,,2,,,,2,2,180,61,1,19,19,12.6219761521816
7630857,1,1,1,1,1,1,1000000,2,,2,,2,2,24,45,1,20,20,19.5341435552614
7630857,1,1,2,1,1,1,1000000,2,,2,,2,2,18,38,1,20,20,19.5341435552614
7630857,1,1,3,1,1,1,1000000,2,,2,,2,2,12,32,1,20,20,19.5341435552614
7630875,1,1,1,1,2,1,200000,2,,2,,2,2,36,54,1,20,20,27.559259022458
7630875,1,1,2,1,2,2,200000,2,,2,,2,2,36,46,1,20,20,27.559259022458
7630877,1,2,1,2,,1,,2,,,,2,2,48,38,1,20,20,22.472599952869
7630879,1,1,1,1,2,1,1200000,2,,2,,2,2,12,22,1,20,20,23.7693148538594
7630879,1,1,1,2,,1,,2,,,,2,2,24,60,1,20,20,23.7693148538594
7630879,1,1,2,1,2,1,1200000,2,,2,,2,2,12,32,1,20,20,23.7693148538594
7630879,1,1,3,1,2,1,1200000,2,,2,,2,2,12,24,1,20,20,23.7693148538594
7630887,1,1,1,1,2,1,1300000,2,,2,,2,2,5,40,1,20,20,18.8212005304922
7630887,1,1,1,2,,1,,2,,,,2,2,108,51,1,20,20,18.8212005304922
7630914,1,1,1,1,1,1,480000,2,,2,,2,2,12,28,1,20,20,9.17718992804273
7630925,1,1,1,2,,2,,2,,,,2,2,2,28,1,20,20,35.4511011828448
7630929,1,1,1,2,,1,,2,,,,2,2,8,45,1,20,20,33.0941622384249
7630937,1,2,1,1,2,1,1820000,2,,2,,2,2,24,22,1,20,20,18.7679914843173
7630937,1,2,1,2,,1,,2,,,,2,2,120,37,1,20,20,18.7679914843173
7630977,1,2,1,2,,1,,2,,,,2,2,240,38,1,20,20,37.5643557520305
7630995,1,1,1,3,,2,,2,,,,2,2,24,67,1,20,20,18.5572064592199
7630995,1,1,2,3,,2,,2,,,,2,2,24,35,1,20,20,18.5572064592199
7631061,1,1,1,1,1,1,1300000,1,377000,1,750000,1,1,120,42,1,23,23,33.0309858288225
7631061,1,1,1,3,,2,,2,,,,2,2,85,35,1,23,23,33.0309858288225
7631061,1,1,2,1,2,1,1300000,1,377000,1,750000,1,1,120,49,1,23,23,33.0309858288225
7631061,1,1,3,1,1,1,1500000,1,377000,1,850000,1,1,180,55,1,23,23,33.0309858288225
7631074,1,1,1,1,1,1,1000000,2,,2,,2,2,60,38,1,23,23,10.0272217015889
7631096,1,1,1,1,2,1,850000,2,,2,,2,2,2,17,1,23,23,40.2856409636696
7631137,1,1,1,3,,1,,2,,,,2,2,24,38,1,23,23,4.96347474228651
7631137,1,1,2,3,,1,,2,,,,2,2,36,41,1,23,23,4.96347474228651
7631137,1,1,3,3,,1,,2,,,,2,2,96,65,1,23,23,4.96347474228651
7631137,1,1,4,3,,2,,2,,,,2,2,24,33,1,23,23,4.96347474228651
7631142,1,1,1,1,1,1,920000,1,250000,1,900000,1,2,8,32,1,23,23,17.1271778371672
7631142,1,1,1,3,,1,,2,,,,2,2,60,34,1,23,23,17.1271778371672
7631142,1,1,2,1,1,2,920000,1,250000,1,900000,1,2,24,64,1,23,23,17.1271778371672
7631142,1,1,2,3,,2,,2,,,,2,2,60,28,1,23,23,17.1271778371672
7631142,1,1,3,1,1,2,920000,1,250000,1,900000,2,2,24,45,1,23,23,17.1271778371672
7631197,1,1,1,1,1,2,1027500,1,299625,2,,1,2,106,43,1,27,27,3.70379431266082
7631197,1,1,1,3,,1,,2,,,,2,2,90,48,1,27,27,3.70379431266082
7631197,1,1,2,1,1,1,300000,1,180000,2,,1,2,61,38,1,27,27,3.70379431266082
7631197,1,1,3,1,1,1,420000,1,180000,2,,1,2,85,35,1,27,27,3.70379431266082
7631197,1,1,4,1,1,1,380000,1,180000,2,,1,2,75,42,1,27,27,3.70379431266082
7631223,1,1,1,3,,1,,2,,,,2,2,61,26,1,27,27,4.09415751676978
7631223,1,1,2,3,,1,,2,,,,2,2,29,18,1,27,27,4.09415751676978
7631272,1,1,1,1,1,1,600000,2,,2,,2,2,33,39,1,27,27,5.71601277228804
7631272,1,1,1,2,,1,,2,,,,2,2,81,58,1,27,27,5.71601277228804
7631343,1,1,1,1,1,2,1300000,1,330600,1,3185573,1,1,120,29,1,41,41,29.7336273672399
7631343,1,1,2,1,2,2,1300000,1,330600,1,3185573,1,1,2,18,1,41,41,29.7336273672399
7631368,1,2,1,3,,2,,2,,,,2,2,36,50,1,41,41,12.8590559056215
7631370,1,1,1,1,2,1,1400000,2,,2,,2,2,6,31,1,41,41,30.4337060577567
7631400,1,1,1,1,2,1,600000,2,,2,,2,2,24,19,1,41,41,17.5940933889457
7631400,1,1,2,1,2,1,600000,2,,2,,2,2,12,25,1,41,41,17.5940933889457
7631480,1,1,1,3,,2,,2,,,,2,2,24,32,1,44,44,10.2317763297087
7631489,1,1,1,3,,2,,2,,,,2,2,36,31,1,44,44,6.18144158618009
7631489,1,4,1,3,,2,,2,,,,2,2,36,39,1,44,44,6.18144158618009
7631493,1,1,1,1,2,1,1600000,2,,2,,2,2,72,66,1,44,44,9.34586086096912
7631493,1,1,2,1,2,1,980000,2,,2,,2,2,48,30,1,44,44,9.34586086096912
7631493,1,1,3,1,2,1,900000,2,,2,,2,2,46,28,1,44,44,9.34586086096912
7631493,1,1,4,1,2,1,900000,2,,2,,2,2,12,19,1,44,44,9.34586086096912
7631509,1,2,1,3,,2,,2,,,,2,2,36,42,1,44,44,6.92975066585795
7631512,1,1,1,1,2,1,1000000,2,,2,,2,2,36,42,1,44,44,5.92492011456576
7631512,1,1,1,3,,2,,2,,,,2,2,60,40,1,44,44,5.92492011456576
7631512,1,1,2,1,2,1,1000000,2,,2,,2,2,24,32,1,44,44,5.92492011456576
7631512,1,1,3,1,2,1,900000,2,,2,,2,2,6,26,1,44,44,5.92492011456576
7631546,1,1,1,3,,1,,2,,,,2,2,60,40,1,47,47,20.0061526853688
7631586,1,1,1,3,,2,,2,,,,2,2,120,60,1,47,47,23.1065825358552
7631593,1,1,1,1,1,1,1000000,2,,2,,2,2,48,26,1,47,47,23.0615435556148
7631713,1,2,1,1,1,2,1000000,2,,2,,2,2,5,30,1,50,50,27.0232624906142
7631724,1,2,1,2,,2,,2,,,,2,2,277,45,1,50,50,26.6456766543471
7631818,1,3,1,2,,2,,2,,,,2,2,24,59,1,52,52,16.8518405839551
7631840,1,1,1,1,2,2,700000,2,,2,,2,2,3,20,1,52,52,8.90519112870649
